"page_number","title","url","metascore","userscore","publish_date"
"0","The Legend of Zelda: Ocarina of Time (N64)","/game/nintendo-64/the-legend-of-zelda-ocarina-of-time","99","9.1","1998-11-23"
"0","Tony Hawk's Pro Skater 2 (PS)","/game/playstation/tony-hawks-pro-skater-2","98","7.5","2000-09-20"
"0","Grand Theft Auto IV (PS3)","/game/playstation-3/grand-theft-auto-iv","98","7.6","2008-04-29"
"0","SoulCalibur (DC)","/game/dreamcast/soulcalibur","98","8.6","1999-09-08"
"0","Grand Theft Auto IV (X360)","/game/xbox-360/grand-theft-auto-iv","98","7.9","2008-04-29"
"0","Super Mario Galaxy (WII)","/game/wii/super-mario-galaxy","97","9.0","2007-11-12"
"0","Super Mario Galaxy 2 (WII)","/game/wii/super-mario-galaxy-2","97","9.1","2010-05-23"
"0","Red Dead Redemption 2 (XONE)","/game/xbox-one/red-dead-redemption-2","97","7.7","2018-10-26"
"0","Grand Theft Auto V (XONE)","/game/xbox-one/grand-theft-auto-v","97","7.8","2014-11-18"
"0","Grand Theft Auto V (PS3)","/game/playstation-3/grand-theft-auto-v","97","8.3","2013-09-17"
"0","Grand Theft Auto V (X360)","/game/xbox-360/grand-theft-auto-v","97","8.3","2013-09-17"
"0","Tony Hawk's Pro Skater 2 (DC)","/game/dreamcast/tony-hawks-pro-skater-2","97","6.0","2000-11-06"
"0","The Legend of Zelda: Breath of the Wild (Switch)","/game/switch/the-legend-of-zelda-breath-of-the-wild","97","8.6","2017-03-03"
"0","Tony Hawk's Pro Skater 3 (PS2)","/game/playstation-2/tony-hawks-pro-skater-3","97","7.5","2001-10-28"
"0","Perfect Dark (N64)","/game/nintendo-64/perfect-dark","97","8.9","2000-05-22"
"0","Red Dead Redemption 2 (PS4)","/game/playstation-4/red-dead-redemption-2","97","8.2","2018-10-26"
"0","Grand Theft Auto V (PS4)","/game/playstation-4/grand-theft-auto-v","97","8.3","2014-11-18"
"0","Metroid Prime (GC)","/game/gamecube/metroid-prime","97","9.2","2002-11-17"
"0","Grand Theft Auto III (PS2)","/game/playstation-2/grand-theft-auto-iii","97","8.4","2001-10-22"
"0","Super Mario Odyssey (Switch)","/game/switch/super-mario-odyssey","97","8.9","2017-10-27"
"0","Halo: Combat Evolved (XBOX)","/game/xbox/halo-combat-evolved","97","8.5","2001-11-14"
"0","NFL 2K1 (DC)","/game/dreamcast/nfl-2k1","97","6.3","2000-09-07"
"0","Half-Life 2 (PC)","/game/pc/half-life-2","96","9.1","2004-11-16"
"0","Grand Theft Auto V (PC)","/game/pc/grand-theft-auto-v","96","7.8","2015-04-13"
"0","The Legend of Zelda: Breath of the Wild (WIIU)","/game/wii-u/the-legend-of-zelda-breath-of-the-wild","96","8.2","2017-03-03"
"0","BioShock (X360)","/game/xbox-360/bioshock","96","8.9","2007-08-21"
"0","GoldenEye 007 (N64)","/game/nintendo-64/goldeneye-007","96","9.0","1997-08-25"
"0","Uncharted 2: Among Thieves (PS3)","/game/playstation-3/uncharted-2-among-thieves","96","8.8","2009-10-13"
"0","Resident Evil 4 (GC)","/game/gamecube/resident-evil-4","96","9.2","2005-01-11"
"0","The Orange Box (X360)","/game/xbox-360/the-orange-box","96","8.8","2007-10-10"
"0","The Orange Box (PC)","/game/pc/the-orange-box","96","9.2","2007-10-10"
"0","Batman: Arkham City (PS3)","/game/playstation-3/batman-arkham-city","96","8.7","2011-10-18"
"0","Tekken 3 (PS)","/game/playstation/tekken-3","96","9.1","1998-04-29"
"0","Mass Effect 2 (X360)","/game/xbox-360/mass-effect-2","96","8.9","2010-01-26"
"0","The Legend of Zelda: Twilight Princess (GC)","/game/gamecube/the-legend-of-zelda-twilight-princess","96","9.0","2006-12-11"
"0","The Elder Scrolls V: Skyrim (X360)","/game/xbox-360/the-elder-scrolls-v-skyrim","96","8.5","2011-11-11"
"0","Half-Life (PC)","/game/pc/half-life","96","9.0","1998-11-19"
"0","Resident Evil 4 (PS2)","/game/playstation-2/resident-evil-4","96","9.0","2005-10-25"
"0","The Legend of Zelda: The Wind Waker (GC)","/game/gamecube/the-legend-of-zelda-the-wind-waker","96","8.9","2003-03-24"
"0","Gran Turismo (PS)","/game/playstation/gran-turismo","96","8.6","1998-04-30"
"0","BioShock (PC)","/game/pc/bioshock","96","8.5","2007-08-21"
"0","Metal Gear Solid 2: Sons of Liberty (PS2)","/game/playstation-2/metal-gear-solid-2-sons-of-liberty","96","8.8","2001-11-12"
"0","Grand Theft Auto Double Pack (XBOX)","/game/xbox/grand-theft-auto-double-pack","96","8.0","2003-10-31"
"0","Baldur's Gate II: Shadows of Amn (PC)","/game/pc/baldurs-gate-ii-shadows-of-amn","95","9.2","2000-09-24"
"0","Grand Theft Auto: San Andreas (PS2)","/game/playstation-2/grand-theft-auto-san-andreas","95","9.0","2004-10-26"
"0","Grand Theft Auto: Vice City (PS2)","/game/playstation-2/grand-theft-auto-vice-city","95","8.8","2002-10-27"
"0","LittleBigPlanet (PS3)","/game/playstation-3/littlebigplanet","95","6.8","2008-10-27"
"0","The Legend of Zelda Collector's Edition (GC)","/game/gamecube/the-legend-of-zelda-collectors-edition","95","9.0","2003-11-17"
"0","Red Dead Redemption (PS3)","/game/playstation-3/red-dead-redemption","95","8.9","2010-05-18"
"0","Gran Turismo 3: A-Spec (PS2)","/game/playstation-2/gran-turismo-3-a-spec","95","8.4","2001-07-09"
"0","Halo 2 (XBOX)","/game/xbox/halo-2","95","8.3","2004-11-09"
"0","The Legend of Zelda: A Link to the Past (GBA)","/game/game-boy-advance/the-legend-of-zelda-a-link-to-the-past","95","8.9","2002-12-03"
"0","The Legend of Zelda: Majora's Mask (N64)","/game/nintendo-64/the-legend-of-zelda-majoras-mask","95","9.1","2000-10-25"
"0","The Last of Us (PS3)","/game/playstation-3/the-last-of-us","95","9.2","2013-06-14"
"0","The Legend of Zelda: Twilight Princess (WII)","/game/wii/the-legend-of-zelda-twilight-princess","95","8.9","2006-11-19"
"0","Madden NFL 2003 (PS2)","/game/playstation-2/madden-nfl-2003","95","7.5","2002-08-12"
"0","Tony Hawk's Pro Skater 2 (GBA)","/game/game-boy-advance/tony-hawks-pro-skater-2","95","6.8","2001-05-30"
"0","The Last of Us Remastered (PS4)","/game/playstation-4/the-last-of-us-remastered","95","9.1","2014-07-29"
"0","Portal 2 (PC)","/game/pc/portal-2","95","9.1","2011-04-18"
"0","Red Dead Redemption (X360)","/game/xbox-360/red-dead-redemption","95","9.0","2010-05-18"
"0","Portal 2 (X360)","/game/xbox-360/portal-2","95","8.7","2011-04-19"
"0","Metal Gear Solid V: The Phantom Pain (XONE)","/game/xbox-one/metal-gear-solid-v-the-phantom-pain","95","7.4","2015-09-01"
"0","Portal 2 (PS3)","/game/playstation-3/portal-2","95","8.5","2011-04-19"
"0","World of Goo (WII)","/game/wii/world-of-goo","94","8.7","2008-10-13"
"0","Persona 5 Royal (PS4)","/game/playstation-4/persona-5-royal","94","8.7","2020-03-31"
"0","The Elder Scrolls V: Skyrim (PC)","/game/pc/the-elder-scrolls-v-skyrim","94","8.2","2011-11-10"
"0","BioShock Infinite (PS3)","/game/playstation-3/bioshock-infinite","94","8.5","2013-03-26"
"0","Final Fantasy IX (PS)","/game/playstation/final-fantasy-ix","94","9.0","2000-11-13"
"0","Call of Duty: Modern Warfare 2 (PS3)","/game/playstation-3/call-of-duty-modern-warfare-2","94","6.5","2009-11-10"
"0","God of War (PS4)","/game/playstation-4/god-of-war","94","9.1","2018-04-20"
"0","Tony Hawk's Pro Skater 4 (PS2)","/game/playstation-2/tony-hawks-pro-skater-4","94","8.4","2002-10-23"
"0","Devil May Cry (PS2)","/game/playstation-2/devil-may-cry","94","8.6","2001-10-16"
"0","Call of Duty 4: Modern Warfare (PS3)","/game/playstation-3/call-of-duty-4-modern-warfare","94","8.4","2007-11-05"
"0","Madden NFL 2002 (PS2)","/game/playstation-2/madden-nfl-2002","94","7.3","2001-08-19"
"0","Batman: Arkham City (X360)","/game/xbox-360/batman-arkham-city","94","8.7","2011-10-18"
"0","Mass Effect 2 (PC)","/game/pc/mass-effect-2","94","8.9","2010-01-26"
"0","The Legend of Zelda: Ocarina of Time 3D (3DS)","/game/3ds/the-legend-of-zelda-ocarina-of-time-3d","94","9.0","2011-06-19"
"0","Chrono Cross (PS)","/game/playstation/chrono-cross","94","8.8","2000-08-15"
"0","Celeste (XONE)","/game/xbox-one/celeste","94","6.8","2018-01-26"
"0","BioShock (PS3)","/game/playstation-3/bioshock","94","8.8","2008-10-21"
"0","Mass Effect 2 (PS3)","/game/playstation-3/mass-effect-2","94","8.6","2011-01-17"
"0","Grand Theft Auto: Vice City (PC)","/game/pc/grand-theft-auto-vice-city","94","8.8","2003-05-12"
"0","Madden NFL 2004 (PS2)","/game/playstation-2/madden-nfl-2004","94","8.2","2003-08-12"
"0","Gears of War (X360)","/game/xbox-360/gears-of-war","94","8.3","2006-11-07"
"0","The Elder Scrolls IV: Oblivion (X360)","/game/xbox-360/the-elder-scrolls-iv-oblivion","94","8.7","2006-03-20"
"0","Sid Meier's Civilization II (PC)","/game/pc/sid-meiers-civilization-ii","94","8.9","1996-02-29"
"0","Quake (PC)","/game/pc/quake","94","8.8","1996-06-22"
"0","Call of Duty 4: Modern Warfare (X360)","/game/xbox-360/call-of-duty-4-modern-warfare","94","8.5","2007-11-05"
"0","BioShock Infinite (PC)","/game/pc/bioshock-infinite","94","8.6","2013-03-25"
"0","Halo 3 (X360)","/game/xbox-360/halo-3","94","7.9","2007-09-25"
"0","Ninja Gaiden Black (XBOX)","/game/xbox/ninja-gaiden-black","94","8.7","2005-09-20"
"0","The Elder Scrolls IV: Oblivion (PC)","/game/pc/the-elder-scrolls-iv-oblivion","94","8.1","2006-03-20"
"0","Street Fighter IV (PS3)","/game/playstation-3/street-fighter-iv","94","7.4","2009-02-17"
"0","Super Mario Advance 4: Super Mario Bros. 3 (GBA)","/game/game-boy-advance/super-mario-advance-4-super-mario-bros-3","94","8.9","2003-10-21"
"0","Jet Grind Radio (DC)","/game/dreamcast/jet-grind-radio","94","8.1","2000-10-30"
"0","Metal Gear Solid (PS)","/game/playstation/metal-gear-solid","94","9.2","1998-10-21"
"0","Grim Fandango (PC)","/game/pc/grim-fandango","94","9.1","1998-10-14"
"0","Tom Clancy's Splinter Cell Chaos Theory (XBOX)","/game/xbox/tom-clancys-splinter-cell-chaos-theory","94","8.9","2005-03-28"
"0","Burnout 3: Takedown (XBOX)","/game/xbox/burnout-3-takedown","94","7.6","2004-09-07"
"0","Diablo (PC)","/game/pc/diablo","94","8.7","1996-12-31"
"1","Metal Gear Solid 3: Subsistence (PS2)","/game/playstation-2/metal-gear-solid-3-subsistence","94","9.0","2006-03-14"
"1","Call of Duty: Modern Warfare 2 (X360)","/game/xbox-360/call-of-duty-modern-warfare-2","94","6.5","2009-11-10"
"1","Metal Gear Solid 4: Guns of the Patriots (PS3)","/game/playstation-3/metal-gear-solid-4-guns-of-the-patriots","94","8.8","2008-06-12"
"1","NCAA Football 2004 (PS2)","/game/playstation-2/ncaa-football-2004","94","8.2","2003-07-16"
"1","God of War (PS2)","/game/playstation-2/god-of-war","94","8.9","2005-03-22"
"1","Star Wars: Knights of the Old Republic (XBOX)","/game/xbox/star-wars-knights-of-the-old-republic","94","9.1","2003-07-17"
"1","Sid Meier's Civilization IV (PC)","/game/pc/sid-meiers-civilization-iv","94","8.3","2005-10-25"
"1","Madden NFL 2004 (GC)","/game/gamecube/madden-nfl-2004","94","7.0","2003-08-12"
"1","Virtua Fighter 4 (PS2)","/game/playstation-2/virtua-fighter-4","94","8.1","2002-03-17"
"1","Super Mario 64 (N64)","/game/nintendo-64/super-mario-64","94","9.2","1996-09-26"
"1","The Witcher 3: Wild Hunt (PC)","/game/pc/the-witcher-3-wild-hunt","93","9.4","2015-05-18"
"1","Burnout 3: Takedown (PS2)","/game/playstation-2/burnout-3-takedown","93","9.0","2004-09-07"
"1","Super Smash Bros. Brawl (WII)","/game/wii/super-smash-bros-brawl","93","8.8","2008-03-09"
"1","Company of Heroes (PC)","/game/pc/company-of-heroes","93","8.8","2006-09-13"
"1","Gran Turismo 2 (PS)","/game/playstation/gran-turismo-2","93","9.0","1999-11-30"
"1","Tom Clancy's Splinter Cell Pandora Tomorrow (XBOX)","/game/xbox/tom-clancys-splinter-cell-pandora-tomorrow","93","8.5","2004-03-23"
"1","Grand Theft Auto: Chinatown Wars (DS)","/game/ds/grand-theft-auto-chinatown-wars","93","8.2","2009-03-17"
"1","Divinity: Original Sin II - Definitive Edition (Switch)","/game/switch/divinity-original-sin-ii---definitive-edition","93","8.7","2019-09-04"
"1","Pac-Man Championship Edition DX (X360)","/game/xbox-360/pac-man-championship-edition-dx","93","7.6","2010-11-17"
"1","Street Fighter Alpha 3 (PS)","/game/playstation/street-fighter-alpha-3","93","8.6","1999-04-30"
"1","Tony Hawk's Pro Skater 3 (XBOX)","/game/xbox/tony-hawks-pro-skater-3","93","7.5","2002-03-04"
"1","Divinity: Original Sin II (PC)","/game/pc/divinity-original-sin-ii","93","8.8","2017-09-14"
"1","Unreal Tournament 2004 (PC)","/game/pc/unreal-tournament-2004","93","8.8","2004-03-16"
"1","BioShock Infinite (X360)","/game/xbox-360/bioshock-infinite","93","8.5","2013-03-26"
"1","Braid (X360)","/game/xbox-360/braid","93","8.5","2008-08-06"
"1","God of War II (PS2)","/game/playstation-2/god-of-war-ii","93","8.9","2007-03-13"
"1","Super Mario 3D World (WIIU)","/game/wii-u/super-mario-3d-world","93","8.9","2013-11-22"
"1","Starcraft II: Wings of Liberty (PC)","/game/pc/starcraft-ii-wings-of-liberty","93","8.3","2010-07-27"
"1","SSX (PS2)","/game/playstation-2/ssx","93","8.3","2000-10-30"
"1","Street Fighter IV (X360)","/game/xbox-360/street-fighter-iv","93","7.3","2009-02-17"
"1","Minecraft (PC)","/game/pc/minecraft","93","7.7","2011-11-18"
"1","Undertale (Switch)","/game/switch/undertale","93","7.9","2018-09-18"
"1","Persona 4 Golden (VITA)","/game/playstation-vita/persona-4-golden","93","8.5","2012-11-20"
"1","Persona 5 (PS4)","/game/playstation-4/persona-5","93","8.7","2017-04-04"
"1","Red Dead Redemption 2 (PC)","/game/pc/red-dead-redemption-2","93","5.0","2019-11-05"
"1","Half-Life: Alyx (PC)","/game/pc/half-life-alyx","93","9.1","2020-03-23"
"1","SSX 3 (PS2)","/game/playstation-2/ssx-3","93","8.8","2003-10-20"
"1","Tom Clancy's Splinter Cell (XBOX)","/game/xbox/tom-clancys-splinter-cell","93","8.6","2002-11-17"
"1","Grand Theft Auto III (PC)","/game/pc/grand-theft-auto-iii","93","8.3","2002-05-20"
"1","Quake III Arena (DC)","/game/dreamcast/quake-iii-arena","93","8.2","2000-10-22"
"1","Homeworld (PC)","/game/pc/homeworld","93","8.8","1999-08-31"
"1","Okami (PS2)","/game/playstation-2/okami","93","9.1","2006-09-19"
"1","The Elder Scrolls IV: Oblivion (PS3)","/game/playstation-3/the-elder-scrolls-iv-oblivion","93","8.1","2007-03-20"
"1","Fallout 3 (X360)","/game/xbox-360/fallout-3","93","8.5","2008-10-28"
"1","Gears of War 2 (X360)","/game/xbox-360/gears-of-war-2","93","7.8","2008-11-07"
"1","SoulCalibur II (GC)","/game/gamecube/soulcalibur-ii","93","8.9","2003-08-27"
"1","World Soccer Winning Eleven 6 International (PS2)","/game/playstation-2/world-soccer-winning-eleven-6-international","93","8.3","2003-03-11"
"1","NFL 2K3 (PS2)","/game/playstation-2/nfl-2k3","93","7.6","2002-08-12"
"1","Mass Effect 3 (X360)","/game/xbox-360/mass-effect-3","93","5.9","2012-03-06"
"1","Metal Gear Solid V: The Phantom Pain (PS4)","/game/playstation-4/metal-gear-solid-v-the-phantom-pain","93","8.2","2015-09-01"
"1","Skies of Arcadia (DC)","/game/dreamcast/skies-of-arcadia","93","8.9","2000-11-13"
"1","The Legend of Zelda: Skyward Sword (WII)","/game/wii/the-legend-of-zelda-skyward-sword","93","8.1","2011-11-20"
"1","Mario Kart Super Circuit (GBA)","/game/game-boy-advance/mario-kart-super-circuit","93","8.0","2001-08-26"
"1","Rock Band 3 (X360)","/game/xbox-360/rock-band-3","93","8.0","2010-10-26"
"1","Viewtiful Joe (GC)","/game/gamecube/viewtiful-joe","93","8.3","2003-10-07"
"1","Test Drive Le Mans (DC)","/game/dreamcast/test-drive-le-mans","93","8.0","2000-11-13"
"1","NBA 2K1 (DC)","/game/dreamcast/nba-2k1","93","7.1","2000-11-01"
"1","Castlevania: Symphony of the Night (PS)","/game/playstation/castlevania-symphony-of-the-night","93","9.2","1997-10-02"
"1","Star Wars: Knights of the Old Republic (PC)","/game/pc/star-wars-knights-of-the-old-republic","93","9.0","2003-11-18"
"1","Virtua Fighter 4: Evolution (PS2)","/game/playstation-2/virtua-fighter-4-evolution","93","8.6","2003-08-13"
"1","Uncharted 4: A Thief's End (PS4)","/game/playstation-4/uncharted-4-a-thiefs-end","93","8.4","2016-05-10"
"1","Super Smash Bros. Ultimate (Switch)","/game/switch/super-smash-bros-ultimate","93","8.6","2018-12-07"
"1","Braid (PS3)","/game/playstation-3/braid","93","7.8","2009-11-12"
"1","Mass Effect 3 (PS3)","/game/playstation-3/mass-effect-3","93","5.7","2012-03-05"
"1","Paper Mario (N64)","/game/nintendo-64/paper-mario","93","9.1","2001-02-05"
"1","Wipeout XL (PS)","/game/playstation/wipeout-xl","93","8.5","1996-09-30"
"1","Grand Theft Auto: San Andreas (XBOX)","/game/xbox/grand-theft-auto-san-andreas","93","8.7","2005-06-07"
"1","Resident Evil 2 (XONE)","/game/xbox-one/resident-evil-2","93","8.6","2019-01-25"
"1","INSIDE (XONE)","/game/xbox-one/inside","93","8.3","2016-06-29"
"1","World of Warcraft (PC)","/game/pc/world-of-warcraft","93","7.4","2004-11-23"
"1","Grand Theft Auto: San Andreas (PC)","/game/pc/grand-theft-auto-san-andreas","93","8.9","2005-06-07"
"1","Flipnote Studio (DS)","/game/ds/flipnote-studio","93","7.5","2009-08-12"
"1","World Soccer Winning Eleven 7 International (PS2)","/game/playstation-2/world-soccer-winning-eleven-7-international","93","8.3","2004-02-17"
"1","NBA 2K2 (DC)","/game/dreamcast/nba-2k2","93","7.3","2001-10-24"
"1","SoulCalibur II (PS2)","/game/playstation-2/soulcalibur-ii","92","8.8","2003-08-27"
"1","The Elder Scrolls V: Skyrim (PS3)","/game/playstation-3/the-elder-scrolls-v-skyrim","92","6.6","2011-11-11"
"1","Prince of Persia: The Sands of Time (XBOX)","/game/xbox/prince-of-persia-the-sands-of-time","92","7.7","2003-11-12"
"1","Call of Duty 4: Modern Warfare (PC)","/game/pc/call-of-duty-4-modern-warfare","92","8.5","2007-11-05"
"1","Forza Horizon 4 (XONE)","/game/xbox-one/forza-horizon-4","92","7.9","2018-09-28"
"1","God of War III (PS3)","/game/playstation-3/god-of-war-iii","92","8.8","2010-03-16"
"1","Divinity: Original Sin II - Definitive Edition (XONE)","/game/xbox-one/divinity-original-sin-ii---definitive-edition","92","7.8","2018-08-31"
"1","NFL 2K3 (GC)","/game/gamecube/nfl-2k3","92","7.0","2002-08-21"
"1","SSX Tricky (PS2)","/game/playstation-2/ssx-tricky","92","8.8","2001-11-05"
"1","NHL 2002 (PS2)","/game/playstation-2/nhl-2002","92","8.4","2001-09-24"
"1","Guitar Hero II (X360)","/game/xbox-360/guitar-hero-ii","92","8.1","2007-04-03"
